,anxiety,Cohesion,Expressiveness,Conflict,Acceptance and Caring,Independence,Active orientation,Organisation,Control,FES,m_control,m_responsiveness,f_control,f_responsiveness,m_total,f_total,total
12,2,48,15,47,60,40,36,7,15,268,77,54,31,71,131,193,324
63,2,56,24,40,61,20,29,3,12,245,74,105,31,107,179,232,411
25,3,51,27,47,85,43,27,6,16,302,58,40,33,134,98,216,314
39,4,53,40,59,71,34,26,11,8,302,138,95,29,84,233,156,389
75,5,51,28,49,40,25,32,5,22,252,64,74,30,50,138,154,292
90,8,38,35,40,57,17,22,8,6,223,103,86,15,97,189,172,361
49,8,60,43,50,57,16,37,7,8,278,89,94,40,80,183,122,305
95,11,47,30,44,17,36,34,12,12,232,74,79,54,85,153,165,318
72,14,54,40,46,77,11,28,10,15,281,88,115,45,68,203,140,343
34,15,52,36,46,33,38,17,11,3,236,112,122,34,77,234,110,344
53,15,55,16,46,45,15,23,9,20,229,89,70,37,100,159,102,261
31,16,57,20,18,50,28,28,8,19,228,64,91,62,76,155,129,284
4,16,44,16,48,45,23,23,7,6,212,45,78,39,67,123,154,277
17,16,47,38,29,20,41,16,8,15,214,54,72,40,70,126,144,270
48,17,56,30,53,48,30,22,5,22,266,75,69,40,42,144,129,273
77,17,68,23,36,30,38,24,7,22,248,116,83,21,38,199,135,334
29,18,34,27,39,59,49,25,6,8,247,78,61,20,54,139,169,308
70,18,39,46,38,33,47,25,9,7,244,80,97,81,90,177,127,304
46,19,59,34,42,71,35,30,9,14,294,58,50,74,73,108,161,269
50,20,45,34,38,63,29,31,6,14,260,54,79,70,111,133,256,389
19,20,45,53,30,67,27,31,8,20,281,81,109,56,16,190,135,325
3,20,38,17,46,54,21,35,7,16,234,106,67,45,88,173,128,301
94,21,38,43,61,12,19,35,9,17,225,85,91,75,32,176,72,248
14,22,38,34,62,42,40,30,10,15,271,117,62,62,102,179,210,389
64,22,32,18,50,46,34,22,6,8,216,133,63,39,94,196,155,351
40,22,46,23,30,33,34,24,8,16,214,97,84,91,54,181,143,324
71,22,42,49,33,59,38,25,8,22,276,69,75,56,148,144,182,326
9,23,65,26,57,46,45,35,1,21,296,86,134,80,119,220,149,369
66,23,55,24,44,55,40,34,6,6,264,69,90,80,38,159,135,294
47,24,32,38,49,30,32,20,7,16,224,62,90,81,48,152,122,274
20,25,46,52,41,68,14,22,5,20,268,107,52,82,126,159,219,378
1,25,37,26,38,52,37,28,4,11,233,71,77,70,41,148,135,283
78,26,44,43,30,42,22,36,7,24,248,111,67,56,72,178,160,338
2,26,48,37,65,57,15,31,11,20,284,94,104,56,56,198,120,318
61,27,51,22,44,55,22,35,11,17,257,73,52,59,39,125,100,225
86,27,54,44,49,36,43,41,10,22,299,107,67,64,43,174,94,268
45,27,55,26,26,42,46,19,11,19,244,80,96,61,85,176,213,389
81,29,63,39,39,41,22,27,3,13,247,75,63,62,110,138,204,342
26,30,47,27,40,46,36,31,8,12,247,18,30,62,89,48,104,152
37,31,61,27,48,65,34,26,8,21,290,82,106,64,78,188,121,309
38,31,58,21,41,38,28,31,5,25,247,68,49,61,65,117,200,317
7,31,45,19,41,46,23,31,4,20,229,91,55,68,68,146,138,284
69,32,46,44,64,40,44,21,6,16,281,113,26,54,73,139,143,282
80,32,55,45,27,19,33,37,9,27,252,98,41,61,89,139,128,267
74,32,58,41,36,29,31,29,2,14,240,89,83,59,95,172,144,316
89,33,59,52,48,56,47,22,11,20,315,105,95,43,49,200,125,325
58,34,53,32,51,77,35,29,10,21,308,83,104,43,104,187,232,419
83,34,34,19,38,45,29,30,13,21,229,57,88,45,34,145,146,291
56,35,42,40,53,24,27,29,4,9,228,98,48,47,55,146,144,290
36,35,54,38,64,50,33,19,2,23,283,58,46,45,104,104,160,264
62,36,43,31,32,44,32,27,4,18,231,129,81,43,28,210,103,313
82,37,46,43,45,76,43,27,10,15,305,136,54,42,23,190,79,269
16,38,62,31,20,54,35,20,11,20,253,95,81,49,51,176,142,318
67,40,35,52,55,54,33,32,7,20,288,51,77,91,63,128,112,240
43,40,50,39,62,38,51,31,4,8,283,64,69,51,68,133,102,235
27,41,43,38,55,30,7,30,2,20,225,64,58,52,48,122,68,190
6,41,53,37,19,30,30,29,4,18,220,88,60,41,92,148,175,323
10,41,45,30,36,18,43,32,5,21,230,45,73,53,62,118,121,239
93,41,61,17,55,34,35,25,14,8,249,61,72,82,98,133,139,272
76,42,40,33,54,43,29,23,11,12,245,81,52,83,7,133,104,237
11,42,51,17,47,40,27,34,13,6,235,4,94,31,54,98,106,204
57,42,48,13,41,55,21,30,5,15,228,92,65,87,77,157,118,275
0,42,53,30,43,29,45,27,9,11,247,84,104,128,14,188,68,256
41,42,41,21,32,63,13,25,1,23,219,86,23,97,66,109,146,255
84,42,61,36,42,65,7,29,7,11,258,115,79,89,41,194,88,282
54,43,54,25,40,47,31,37,8,18,260,59,47,76,43,106,157,263
85,43,48,37,21,20,54,23,11,16,230,56,65,103,103,121,156,277
44,43,49,38,41,18,39,24,12,7,228,50,85,91,91,135,202,337
96,44,31,20,40,29,24,20,4,9,177,103,69,105,70,172,134,306
15,44,42,10,38,41,27,18,8,15,199,74,82,108,69,156,112,268
21,44,38,27,49,31,12,27,5,15,204,105,43,104,100,148,192,340
51,44,37,32,2,50,25,32,7,1,186,79,58,92,79,137,153,290
68,45,50,44,62,46,28,20,9,13,272,86,62,93,30,148,77,225
55,45,26,21,38,35,33,34,10,23,220,77,65,94,87,142,132,274
23,45,62,19,45,35,27,23,9,11,231,69,120,114,60,189,168,357
13,45,35,38,38,65,26,25,6,17,250,33,82,94,53,115,115,230
88,45,54,33,34,44,26,22,7,17,237,81,91,88,72,172,193,365
52,45,49,35,34,43,12,34,7,15,229,83,74,89,14,157,117,274
65,46,50,23,65,38,32,28,7,6,249,83,17,119,96,100,127,227
32,46,57,50,33,64,37,29,9,25,304,72,56,89,64,128,75,203
79,47,60,32,40,51,23,23,9,10,248,136,92,91,41,228,120,348
87,47,52,43,35,42,21,27,12,0,232,41,44,91,23,85,85,170
60,49,31,32,64,52,39,30,5,19,272,65,44,85,90,109,137,246
73,49,34,38,32,40,24,36,8,20,232,80,34,86,91,114,94,208
30,51,54,15,52,27,44,21,12,3,228,71,88,111,22,159,69,228
99,51,51,47,33,40,35,37,4,15,262,85,80,112,17,165,106,271
98,52,53,43,37,42,23,24,5,15,242,53,34,94,65,87,156,243
35,52,55,32,48,2,32,25,10,13,217,61,77,84,125,138,154,292
59,53,48,35,39,81,41,25,8,23,300,52,48,89,102,100,196,296
92,54,43,24,49,14,21,32,4,18,205,80,58,121,54,138,159,297
24,56,35,39,40,33,29,28,10,15,229,82,55,122,79,137,155,292
18,57,29,27,20,52,18,23,9,17,195,78,63,125,70,141,151,292
28,60,60,12,33,38,10,23,5,16,197,41,53,87,64,94,155,249
91,60,38,29,33,36,24,23,9,24,216,110,62,128,84,172,123,295
42,62,61,15,55,32,39,28,6,17,253,96,99,135,18,195,25,220
22,65,42,32,40,45,43,20,7,21,250,53,78,145,23,131,50,181
5,66,57,26,53,26,35,23,3,20,243,72,88,99,44,160,128,288
97,67,47,47,49,10,32,28,6,16,235,76,57,91,59,133,127,260
33,68,53,39,42,45,28,21,11,18,257,89,58,103,109,147,185,332
8,74,44,39,38,26,39,27,5,15,233,66,92,115,26,158,57,215
,,,,,,,,,,,,,,,,,
Mean,34.79,48.16,31.87,42.5,44.07,30.5,27.41,7.42,15.45,247.29,79.65,71.9,72.45,68.17,151.55,138.4,289.95
Median,35.5,48.5,32,41,43.5,31.5,27,7,16,245,80,72,72,68.5,148,136,290
Min,2,26,10,2,2,7,16,1,0,177,4,17,15,7,48,25,152
Max,74,68,53,65,85,54,41,14,27,315,138,134,145,148,234,256,419
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,0.76820212,,,,,,,,,,,,
